,Start_Time,Start_Label,End_Time,End_Label
65,five hundred hours,MILITARY_TIME_START,eighteen hundred hours,MILITARY_TIME_END
66,06:00,MILITARY_TIME_START,17:00,MILITARY_TIME_END
67,06:00 hours,MILITARY_TIME_START,17:00 hours,MILITARY_TIME_END
68,six hundred hours,MILITARY_TIME_START,seventeen hundred hours,MILITARY_TIME_END
69,07:00,MILITARY_TIME_START,16:00,MILITARY_TIME_END
70,07:00 hours,MILITARY_TIME_START,16:00 hours,MILITARY_TIME_END
71,seven hundred hours,MILITARY_TIME_START,sixteen hundred hours,MILITARY_TIME_END
72,08:00,MILITARY_TIME_START,15:00,MILITARY_TIME_END
73,08:00 hours,MILITARY_TIME_START,15:00 hours,MILITARY_TIME_END
74,eight hundred hours,MILITARY_TIME_START,fifteen hundred hours,MILITARY_TIME_END
75,09:00,MILITARY_TIME_START,14:00,MILITARY_TIME_END
76,09:00 hours,MILITARY_TIME_START,14:00 hours,MILITARY_TIME_END
77,nine hundred hours,MILITARY_TIME_START,fourteen hundred hours,MILITARY_TIME_END
78,10:00,MILITARY_TIME_START,13:00,MILITARY_TIME_END
79,10:00 hours,MILITARY_TIME_START,13:00 hours,MILITARY_TIME_END
80,ten hundred hours,MILITARY_TIME_START,thirteen hundred hours,MILITARY_TIME_END
81,11:00,MILITARY_TIME_START,12:00,MILITARY_TIME_END
82,11:00 hours,MILITARY_TIME_START,12:00 hours,MILITARY_TIME_END
83,eleven hundred hours,MILITARY_TIME_START,twelve hundred hours,MILITARY_TIME_END
84,12:00,MILITARY_TIME_START,11:00,MILITARY_TIME_END
85,12:00 hours,MILITARY_TIME_START,11:00 hours,MILITARY_TIME_END
86,twelve hundred hours,MILITARY_TIME_START,eleven hundred hours,MILITARY_TIME_END
87,13:00,MILITARY_TIME_START,10:00,MILITARY_TIME_END
88,13:00 hours,MILITARY_TIME_START,10:00 hours,MILITARY_TIME_END
89,thirteen hundred hours,MILITARY_TIME_START,ten hundred hours,MILITARY_TIME_END
90,14:00,MILITARY_TIME_START,09:00,MILITARY_TIME_END
91,14:00 hours,MILITARY_TIME_START,09:00 hours,MILITARY_TIME_END
92,fourteen hundred hours,MILITARY_TIME_START,nine hundred hours,MILITARY_TIME_END
93,15:00,MILITARY_TIME_START,08:00,MILITARY_TIME_END
94,15:00 hours,MILITARY_TIME_START,08:00 hours,MILITARY_TIME_END
95,fifteen hundred hours,MILITARY_TIME_START,eight hundred hours,MILITARY_TIME_END
96,16:00,MILITARY_TIME_START,07:00,MILITARY_TIME_END
97,16:00 hours,MILITARY_TIME_START,07:00 hours,MILITARY_TIME_END
98,sixteen hundred hours,MILITARY_TIME_START,seven hundred hours,MILITARY_TIME_END
99,17:00,MILITARY_TIME_START,06:00,MILITARY_TIME_END
100,17:00 hours,MILITARY_TIME_START,06:00 hours,MILITARY_TIME_END
101,seventeen hundred hours,MILITARY_TIME_START,six hundred hours,MILITARY_TIME_END
102,18:00,MILITARY_TIME_START,05:00,MILITARY_TIME_END
103,18:00 hours,MILITARY_TIME_START,05:00 hours,MILITARY_TIME_END
104,eighteen hundred hours,MILITARY_TIME_START,five hundred hours,MILITARY_TIME_END
105,19:00,MILITARY_TIME_START,04:00,MILITARY_TIME_END
106,19:00 hours,MILITARY_TIME_START,04:00 hours,MILITARY_TIME_END
107,nineteen hundred hours,MILITARY_TIME_START,four hundred hours,MILITARY_TIME_END
108,20:00,MILITARY_TIME_START,03:00,MILITARY_TIME_END
109,20:00 hours,MILITARY_TIME_START,03:00 hours,MILITARY_TIME_END
110,twenty hundred hours,MILITARY_TIME_START,three hundred hours,MILITARY_TIME_END
111,21:00,MILITARY_TIME_START,02:00,MILITARY_TIME_END
112,21:00 hours,MILITARY_TIME_START,02:00 hours,MILITARY_TIME_END
113,twenty-one hundred hours,MILITARY_TIME_START,two hundred hours,MILITARY_TIME_END
114,22:00,MILITARY_TIME_START,01:00,MILITARY_TIME_END
115,22:00 hours,MILITARY_TIME_START,01:00 hours,MILITARY_TIME_END
116,twenty-two hundred hours,MILITARY_TIME_START,one hundred hours,MILITARY_TIME_END
117,23:00,MILITARY_TIME_START,00:00,MILITARY_TIME_END
118,23:00 hours,MILITARY_TIME_START,00:00 hours,MILITARY_TIME_END
119,twenty-three hundred hours,MILITARY_TIME_START,zero hundred hours,MILITARY_TIME_END
120,01:01,AM_TIME_START,02:01 a.m.,AM_TIME_END
121,one o one,AM_TIME_START,two o one a.m.,AM_TIME_END
122,2:01 am,AM_TIME_START,03:01 A.M.,AM_TIME_END
123,two o one am,AM_TIME_START,three o one A.M.,AM_TIME_END
124,3:01 a.m.,AM_TIME_START,4:01 A.M.,AM_TIME_END
125,three o one a.m.,AM_TIME_START,four o one A.M.,AM_TIME_END
126,4:01,AM_TIME_START,5:01 am,AM_TIME_END
127,four o one,AM_TIME_START,five o one am,AM_TIME_END
128,5:01 AM,AM_TIME_START,06:01 a.m.,AM_TIME_END
129,five o one AM,AM_TIME_START,six o one a.m.,AM_TIME_END
130,6:01,AM_TIME_START,7:01 A.M.,AM_TIME_END
131,six o one,AM_TIME_START,seven o one A.M.,AM_TIME_END
132,7:01 a.m.,AM_TIME_START,8:01 in the morning,AM_TIME_END
133,seven o one a.m.,AM_TIME_START,eight o one in the morning,AM_TIME_END
134,08:01,AM_TIME_START,9:01 am,AM_TIME_END
135,eight o one,AM_TIME_START,nine o one am,AM_TIME_END
136,9:01 a.m.,AM_TIME_START,10:01 a.m.,AM_TIME_END
137,nine o one a.m.,AM_TIME_START,ten o one a.m.,AM_TIME_END
138,10:01 AM,AM_TIME_START,11:01 A.M.,AM_TIME_END
139,ten o one AM,AM_TIME_START,eleven o one A.M.,AM_TIME_END
140,11:01 o'clock,AM_TIME_START,12:01 PM,PM_TIME_END
141,eleven o one o'clock,AM_TIME_START,twelve o one,PM_TIME_END
142,12:01 AM,AM_TIME_START,1:01 am,AM_TIME_END
143,twelve o one AM,AM_TIME_START,one o one am,AM_TIME_END
144,12:01None,PM_TIME_START,1:01 in the afternoon,PM_TIME_END
145,twelve o oneNone,PM_TIME_START,one o one in the afternoon,PM_TIME_END
146,11:01 PM,PM_TIME_START,12:01,AM_TIME_END
147,eleven o one PM,PM_TIME_START,twelve o one am,AM_TIME_END
148,10:01 pm,PM_TIME_START,11:01 p.m.,PM_TIME_END
149,ten o one pm,PM_TIME_START,eleven o one p.m.,PM_TIME_END
150,9:01,PM_TIME_START,10:01,PM_TIME_END
151,nine o one,PM_TIME_START,ten o one,PM_TIME_END
152,08:01 pm,PM_TIME_START,09:01 p.m.,PM_TIME_END
153,eight o one pm,PM_TIME_START,nine o one p.m.,PM_TIME_END
154,7:01 PM,PM_TIME_START,8:01 PM,PM_TIME_END
155,seven o one PM,PM_TIME_START,eight o one PM,PM_TIME_END
156,06:01 PM,PM_TIME_START,07:01 pm,PM_TIME_END
157,six o one PM,PM_TIME_START,seven o one pm,PM_TIME_END
158,5:01 PM,PM_TIME_START,06:01 p.m.,PM_TIME_END
159,five o one PM,PM_TIME_START,six o one p.m.,PM_TIME_END
160,4:01 P.M.,PM_TIME_START,5:01,PM_TIME_END
161,four o one P.M.,PM_TIME_START,five o one,PM_TIME_END
162,3:01 PM,PM_TIME_START,04:01 pm,PM_TIME_END
163,three o one PM,PM_TIME_START,four o one pm,PM_TIME_END
164,02:01,PM_TIME_START,3:01,PM_TIME_END
165,two o one,PM_TIME_START,three o one,PM_TIME_END
166,01:01 PM,PM_TIME_START,2:01 pm,PM_TIME_END
167,one o one PM,PM_TIME_START,two o one pm,PM_TIME_END
168,00:01,MILITARY_TIME_START,23:01,MILITARY_TIME_END
169,00:01 hours,MILITARY_TIME_START,23:01 hours,MILITARY_TIME_END
170,twenty-four hundred zero one,MILITARY_TIME_START,twenty-three hundred zero one,MILITARY_TIME_END
171,01:01,MILITARY_TIME_START,22:01,MILITARY_TIME_END
172,01:01 hours,MILITARY_TIME_START,22:01 hours,MILITARY_TIME_END
173,one hundred zero one,MILITARY_TIME_START,twenty-two hundred zero one,MILITARY_TIME_END
174,02:01,MILITARY_TIME_START,21:01,MILITARY_TIME_END
175,02:01 hours,MILITARY_TIME_START,21:01 hours,MILITARY_TIME_END
176,two hundred zero one,MILITARY_TIME_START,twenty-one hundred zero one,MILITARY_TIME_END
177,03:01,MILITARY_TIME_START,20:01,MILITARY_TIME_END
178,03:01 hours,MILITARY_TIME_START,20:01 hours,MILITARY_TIME_END
179,three hundred zero one,MILITARY_TIME_START,twenty hundred zero one,MILITARY_TIME_END
180,04:01,MILITARY_TIME_START,19:01,MILITARY_TIME_END
181,04:01 hours,MILITARY_TIME_START,19:01 hours,MILITARY_TIME_END
182,four hundred zero one,MILITARY_TIME_START,nineteen hundred zero one,MILITARY_TIME_END
183,05:01,MILITARY_TIME_START,18:01,MILITARY_TIME_END
184,05:01 hours,MILITARY_TIME_START,18:01 hours,MILITARY_TIME_END
185,five hundred zero one,MILITARY_TIME_START,eighteen hundred zero one,MILITARY_TIME_END
186,06:01,MILITARY_TIME_START,17:01,MILITARY_TIME_END
187,06:01 hours,MILITARY_TIME_START,17:01 hours,MILITARY_TIME_END
188,six hundred zero one,MILITARY_TIME_START,seventeen hundred zero one,MILITARY_TIME_END
189,07:01,MILITARY_TIME_START,16:01,MILITARY_TIME_END
190,07:01 hours,MILITARY_TIME_START,16:01 hours,MILITARY_TIME_END
191,seven hundred zero one,MILITARY_TIME_START,sixteen hundred zero one,MILITARY_TIME_END
192,08:01,MILITARY_TIME_START,15:01,MILITARY_TIME_END
193,08:01 hours,MILITARY_TIME_START,15:01 hours,MILITARY_TIME_END
194,eight hundred zero one,MILITARY_TIME_START,fifteen hundred zero one,MILITARY_TIME_END
195,09:01,MILITARY_TIME_START,14:01,MILITARY_TIME_END
196,09:01 hours,MILITARY_TIME_START,14:01 hours,MILITARY_TIME_END
197,nine hundred zero one,MILITARY_TIME_START,fourteen hundred zero one,MILITARY_TIME_END
198,10:01,MILITARY_TIME_START,13:01,MILITARY_TIME_END
199,10:01 hours,MILITARY_TIME_START,13:01 hours,MILITARY_TIME_END
200,ten hundred zero one,MILITARY_TIME_START,thirteen hundred zero one,MILITARY_TIME_END
201,11:01,MILITARY_TIME_START,12:01,MILITARY_TIME_END
202,11:01 hours,MILITARY_TIME_START,12:01 hours,MILITARY_TIME_END
203,eleven hundred zero one,MILITARY_TIME_START,twelve hundred zero one,MILITARY_TIME_END
204,12:01,MILITARY_TIME_START,11:01,MILITARY_TIME_END
205,12:01 hours,MILITARY_TIME_START,11:01 hours,MILITARY_TIME_END
206,twelve hundred zero one,MILITARY_TIME_START,eleven hundred zero one,MILITARY_TIME_END
207,13:01,MILITARY_TIME_START,10:01,MILITARY_TIME_END
208,13:01 hours,MILITARY_TIME_START,10:01 hours,MILITARY_TIME_END
209,thirteen hundred zero one,MILITARY_TIME_START,ten hundred zero one,MILITARY_TIME_END
210,14:01,MILITARY_TIME_START,09:01,MILITARY_TIME_END
211,14:01 hours,MILITARY_TIME_START,09:01 hours,MILITARY_TIME_END
212,fourteen hundred zero one,MILITARY_TIME_START,nine hundred zero one,MILITARY_TIME_END
213,15:01,MILITARY_TIME_START,08:01,MILITARY_TIME_END
214,15:01 hours,MILITARY_TIME_START,08:01 hours,MILITARY_TIME_END
215,fifteen hundred zero one,MILITARY_TIME_START,eight hundred zero one,MILITARY_TIME_END
216,16:01,MILITARY_TIME_START,07:01,MILITARY_TIME_END
217,16:01 hours,MILITARY_TIME_START,07:01 hours,MILITARY_TIME_END
218,sixteen hundred zero one,MILITARY_TIME_START,seven hundred zero one,MILITARY_TIME_END
219,17:01,MILITARY_TIME_START,06:01,MILITARY_TIME_END
220,17:01 hours,MILITARY_TIME_START,06:01 hours,MILITARY_TIME_END
221,seventeen hundred zero one,MILITARY_TIME_START,six hundred zero one,MILITARY_TIME_END
222,18:01,MILITARY_TIME_START,05:01,MILITARY_TIME_END
223,18:01 hours,MILITARY_TIME_START,05:01 hours,MILITARY_TIME_END
224,eighteen hundred zero one,MILITARY_TIME_START,five hundred zero one,MILITARY_TIME_END
225,19:01,MILITARY_TIME_START,04:01,MILITARY_TIME_END
226,19:01 hours,MILITARY_TIME_START,04:01 hours,MILITARY_TIME_END
227,nineteen hundred zero one,MILITARY_TIME_START,four hundred zero one,MILITARY_TIME_END
228,20:01,MILITARY_TIME_START,03:01,MILITARY_TIME_END
229,20:01 hours,MILITARY_TIME_START,03:01 hours,MILITARY_TIME_END
230,twenty hundred zero one,MILITARY_TIME_START,three hundred zero one,MILITARY_TIME_END
231,21:01,MILITARY_TIME_START,02:01,MILITARY_TIME_END
232,21:01 hours,MILITARY_TIME_START,02:01 hours,MILITARY_TIME_END
233,twenty-one hundred zero one,MILITARY_TIME_START,two hundred zero one,MILITARY_TIME_END
234,22:01,MILITARY_TIME_START,01:01,MILITARY_TIME_END
235,22:01 hours,MILITARY_TIME_START,01:01 hours,MILITARY_TIME_END
236,twenty-two hundred zero one,MILITARY_TIME_START,one hundred zero one,MILITARY_TIME_END
237,23:01,MILITARY_TIME_START,00:01,MILITARY_TIME_END
238,23:01 hours,MILITARY_TIME_START,00:01 hours,MILITARY_TIME_END
239,twenty-three hundred zero one,MILITARY_TIME_START,twenty-four hundred zero one,MILITARY_TIME_END
240,01:02 AM,AM_TIME_START,2:02,AM_TIME_END
241,one o two AM,AM_TIME_START,two o two,AM_TIME_END
242,2:02 AM,AM_TIME_START,3:02 a.m.,AM_TIME_END
243,two o two AM,AM_TIME_START,three o two a.m.,AM_TIME_END
244,03:02 AM,AM_TIME_START,4:02 A.M.,AM_TIME_END
245,three o two AM,AM_TIME_START,four o two A.M.,AM_TIME_END
246,4:02 o'clock,AM_TIME_START,5:02 am,AM_TIME_END
247,four o two o'clock,AM_TIME_START,five o two am,AM_TIME_END
248,05:02 a.m.,AM_TIME_START,6:02 a.m.,AM_TIME_END
249,five o two a.m.,AM_TIME_START,six o two a.m.,AM_TIME_END
250,6:02,AM_TIME_START,7:02 am,AM_TIME_END
251,six o two,AM_TIME_START,seven o two am,AM_TIME_END
252,7:02 AM,AM_TIME_START,8:02 in the morning,AM_TIME_END
253,seven o two AM,AM_TIME_START,eight o two in the morning,AM_TIME_END
254,8:02,AM_TIME_START,9:02 AM,AM_TIME_END
255,eight o two,AM_TIME_START,nine o two AM,AM_TIME_END
256,9:02,AM_TIME_START,10:02 in the morning,AM_TIME_END
257,nine o two,AM_TIME_START,ten o two in the morning,AM_TIME_END
258,10:02 AM,AM_TIME_START,11:02 a.m.,AM_TIME_END
259,ten o two AM,AM_TIME_START,eleven o two a.m.,AM_TIME_END
260,11:02 AM,AM_TIME_START,12:02 pm,PM_TIME_END
261,eleven o two AM,AM_TIME_START,twelve o two P.M.,PM_TIME_END
262,12:02 a.m.,AM_TIME_START,1:02 in the morning,AM_TIME_END
263,twelve o two a.m.,AM_TIME_START,one o two in the morning,AM_TIME_END
264,12:02None,PM_TIME_START,01:02 P.M.,PM_TIME_END
265,twelve o twoNone,PM_TIME_START,one o two P.M.,PM_TIME_END
266,11:02 at night,PM_TIME_START,12:02 a.m.,AM_TIME_END
267,eleven o two at night,PM_TIME_START,twelve o two AM,AM_TIME_END
268,10:02,PM_TIME_START,11:02 at night,PM_TIME_END
269,ten o two,PM_TIME_START,eleven o two at night,PM_TIME_END
270,09:02 p.m.,PM_TIME_START,10:02 p.m.,PM_TIME_END
271,nine o two p.m.,PM_TIME_START,ten o two p.m.,PM_TIME_END
272,8:02,PM_TIME_START,9:02 P.M.,PM_TIME_END
273,eight o two,PM_TIME_START,nine o two P.M.,PM_TIME_END
274,07:02 p.m.,PM_TIME_START,08:02 P.M.,PM_TIME_END
275,seven o two p.m.,PM_TIME_START,eight o two P.M.,PM_TIME_END
276,06:02 p.m.,PM_TIME_START,07:02 pm,PM_TIME_END
277,six o two p.m.,PM_TIME_START,seven o two pm,PM_TIME_END
278,05:02 P.M.,PM_TIME_START,6:02 in the evening,PM_TIME_END
279,five o two P.M.,PM_TIME_START,six o two in the evening,PM_TIME_END
280,4:02 p.m.,PM_TIME_START,05:02,PM_TIME_END
281,four o two p.m.,PM_TIME_START,five o two,PM_TIME_END
282,3:02 P.M.,PM_TIME_START,04:02 pm,PM_TIME_END
283,three o two P.M.,PM_TIME_START,four o two pm,PM_TIME_END
284,2:02 pm,PM_TIME_START,3:02 pm,PM_TIME_END
285,two o two pm,PM_TIME_START,three o two pm,PM_TIME_END
286,1:02 PM,PM_TIME_START,2:02 in the afternoon,PM_TIME_END
287,one o two PM,PM_TIME_START,two o two in the afternoon,PM_TIME_END
288,00:02,MILITARY_TIME_START,23:02,MILITARY_TIME_END
289,00:02 hours,MILITARY_TIME_START,23:02 hours,MILITARY_TIME_END
290,zero hundred zero two,MILITARY_TIME_START,twenty-three hundred zero two,MILITARY_TIME_END
291,01:02,MILITARY_TIME_START,22:02,MILITARY_TIME_END
292,01:02 hours,MILITARY_TIME_START,22:02 hours,MILITARY_TIME_END
293,one hundred zero two,MILITARY_TIME_START,twenty-two hundred zero two,MILITARY_TIME_END
294,02:02,MILITARY_TIME_START,21:02,MILITARY_TIME_END
295,02:02 hours,MILITARY_TIME_START,21:02 hours,MILITARY_TIME_END
296,two hundred zero two,MILITARY_TIME_START,twenty-one hundred zero two,MILITARY_TIME_END
297,03:02,MILITARY_TIME_START,20:02,MILITARY_TIME_END
298,03:02 hours,MILITARY_TIME_START,20:02 hours,MILITARY_TIME_END
299,three hundred zero two,MILITARY_TIME_START,twenty hundred zero two,MILITARY_TIME_END
300,04:02,MILITARY_TIME_START,19:02,MILITARY_TIME_END
301,04:02 hours,MILITARY_TIME_START,19:02 hours,MILITARY_TIME_END
302,four hundred zero two,MILITARY_TIME_START,nineteen hundred zero two,MILITARY_TIME_END
303,05:02,MILITARY_TIME_START,18:02,MILITARY_TIME_END
304,05:02 hours,MILITARY_TIME_START,18:02 hours,MILITARY_TIME_END
305,five hundred zero two,MILITARY_TIME_START,eighteen hundred zero two,MILITARY_TIME_END
306,06:02,MILITARY_TIME_START,17:02,MILITARY_TIME_END
307,06:02 hours,MILITARY_TIME_START,17:02 hours,MILITARY_TIME_END
308,six hundred zero two,MILITARY_TIME_START,seventeen hundred zero two,MILITARY_TIME_END
309,07:02,MILITARY_TIME_START,16:02,MILITARY_TIME_END
310,07:02 hours,MILITARY_TIME_START,16:02 hours,MILITARY_TIME_END
311,seven hundred zero two,MILITARY_TIME_START,sixteen hundred zero two,MILITARY_TIME_END
312,08:02,MILITARY_TIME_START,15:02,MILITARY_TIME_END
313,08:02 hours,MILITARY_TIME_START,15:02 hours,MILITARY_TIME_END
314,eight hundred zero two,MILITARY_TIME_START,fifteen hundred zero two,MILITARY_TIME_END
315,09:02,MILITARY_TIME_START,14:02,MILITARY_TIME_END
316,09:02 hours,MILITARY_TIME_START,14:02 hours,MILITARY_TIME_END
317,nine hundred zero two,MILITARY_TIME_START,fourteen hundred zero two,MILITARY_TIME_END
318,10:02,MILITARY_TIME_START,13:02,MILITARY_TIME_END
319,10:02 hours,MILITARY_TIME_START,13:02 hours,MILITARY_TIME_END
320,ten hundred zero two,MILITARY_TIME_START,thirteen hundred zero two,MILITARY_TIME_END
321,11:02,MILITARY_TIME_START,12:02,MILITARY_TIME_END
322,11:02 hours,MILITARY_TIME_START,12:02 hours,MILITARY_TIME_END
323,eleven hundred zero two,MILITARY_TIME_START,twelve hundred zero two,MILITARY_TIME_END
324,12:02,MILITARY_TIME_START,11:02,MILITARY_TIME_END
325,12:02 hours,MILITARY_TIME_START,11:02 hours,MILITARY_TIME_END
326,twelve hundred zero two,MILITARY_TIME_START,eleven hundred zero two,MILITARY_TIME_END
327,13:02,MILITARY_TIME_START,10:02,MILITARY_TIME_END
328,13:02 hours,MILITARY_TIME_START,10:02 hours,MILITARY_TIME_END
329,thirteen hundred zero two,MILITARY_TIME_START,ten hundred zero two,MILITARY_TIME_END
330,14:02,MILITARY_TIME_START,09:02,MILITARY_TIME_END
331,14:02 hours,MILITARY_TIME_START,09:02 hours,MILITARY_TIME_END
332,fourteen hundred zero two,MILITARY_TIME_START,nine hundred zero two,MILITARY_TIME_END
333,15:02,MILITARY_TIME_START,08:02,MILITARY_TIME_END
334,15:02 hours,MILITARY_TIME_START,08:02 hours,MILITARY_TIME_END
335,fifteen hundred zero two,MILITARY_TIME_START,eight hundred zero two,MILITARY_TIME_END
336,16:02,MILITARY_TIME_START,07:02,MILITARY_TIME_END
337,16:02 hours,MILITARY_TIME_START,07:02 hours,MILITARY_TIME_END
338,sixteen hundred zero two,MILITARY_TIME_START,seven hundred zero two,MILITARY_TIME_END
339,17:02,MILITARY_TIME_START,06:02,MILITARY_TIME_END
340,17:02 hours,MILITARY_TIME_START,06:02 hours,MILITARY_TIME_END
341,seventeen hundred zero two,MILITARY_TIME_START,six hundred zero two,MILITARY_TIME_END
342,18:02,MILITARY_TIME_START,05:02,MILITARY_TIME_END
343,18:02 hours,MILITARY_TIME_START,05:02 hours,MILITARY_TIME_END
344,eighteen hundred zero two,MILITARY_TIME_START,five hundred zero two,MILITARY_TIME_END
345,19:02,MILITARY_TIME_START,04:02,MILITARY_TIME_END
346,19:02 hours,MILITARY_TIME_START,04:02 hours,MILITARY_TIME_END
347,nineteen hundred zero two,MILITARY_TIME_START,four hundred zero two,MILITARY_TIME_END
348,20:02,MILITARY_TIME_START,03:02,MILITARY_TIME_END
349,20:02 hours,MILITARY_TIME_START,03:02 hours,MILITARY_TIME_END
350,twenty hundred zero two,MILITARY_TIME_START,three hundred zero two,MILITARY_TIME_END
351,21:02,MILITARY_TIME_START,02:02,MILITARY_TIME_END
352,21:02 hours,MILITARY_TIME_START,02:02 hours,MILITARY_TIME_END
353,twenty-one hundred zero two,MILITARY_TIME_START,two hundred zero two,MILITARY_TIME_END
354,22:02,MILITARY_TIME_START,01:02,MILITARY_TIME_END
355,22:02 hours,MILITARY_TIME_START,01:02 hours,MILITARY_TIME_END
356,twenty-two hundred zero two,MILITARY_TIME_START,one hundred zero two,MILITARY_TIME_END
357,23:02,MILITARY_TIME_START,00:02,MILITARY_TIME_END
358,23:02 hours,MILITARY_TIME_START,00:02 hours,MILITARY_TIME_END
359,twenty-three hundred zero two,MILITARY_TIME_START,twenty-four hundred zero two,MILITARY_TIME_END
360,01:03 AM,AM_TIME_START,2:03,AM_TIME_END
361,one o three AM,AM_TIME_START,two o three,AM_TIME_END
362,2:03,AM_TIME_START,03:03 in the morning,AM_TIME_END
363,two o three,AM_TIME_START,three o three in the morning,AM_TIME_END
364,03:03 AM,AM_TIME_START,4:03 AM,AM_TIME_END
365,three o three AM,AM_TIME_START,four o three AM,AM_TIME_END
366,04:03 a.m.,AM_TIME_START,05:03 AM,AM_TIME_END
367,four o three a.m.,AM_TIME_START,five o three AM,AM_TIME_END
368,05:03 AM,AM_TIME_START,06:03 in the morning,AM_TIME_END
369,five o three AM,AM_TIME_START,six o three in the morning,AM_TIME_END
370,6:03 o'clock,AM_TIME_START,7:03,AM_TIME_END
371,six o three o'clock,AM_TIME_START,seven o three,AM_TIME_END
372,7:03,AM_TIME_START,8:03,AM_TIME_END
373,seven o three,AM_TIME_START,eight o three,AM_TIME_END
